"Time Sec","Position mm","100 kN kN","Cycle"
24.1,11.9953,-0.0616789,1
24.2,11.8952,-0.0505984,1
24.3,11.7952,-0.0451088,1
24.4,11.6967,-0.0539005,1
24.5,11.595,-0.0446498,1
24.6,11.4968,-0.0370979,1
24.7,11.3943,-0.0432253,1
24.8,11.2958,-0.0294387,1
24.9,11.1957,-0.0515163,1
25.,11.0967,-0.0341117,1
25.1,10.9953,-0.0411153,1
25.2,10.8954,-0.0384629,1
25.3,10.7963,-0.0389338,1
25.4,10.6945,-0.028652,1
25.5,10.5969,-0.0231802,1
25.6,10.4946,-0.0383079,1
25.7,10.3956,-0.0280619,1
25.8,10.2953,-0.0346422,1
25.9,10.1968,-0.0102878,1
26.,10.0944,-0.0244558,1
26.1,9.9963,-0.014627,1
26.2,9.89599,-0.0146091,1
26.3,9.7958,-0.0207782,1
26.4,9.69481,-0.0283718,1
26.5,9.5971,-0.00799298,1
26.6,9.49506,-0.0139773,1
26.7,9.39729,-0.0048697,1
26.8,10.1053,0.00234842,1
26.9,12.7193,0.00449419,1
27.,15.3291,-0.166893E-3,1
27.1,17.9411,0.00846386,1
27.2,20.5473,0.00739098,1
27.3,23.1567,0.00245571,1
27.4,25.7643,0.00464916,1
27.5,28.3716,0.00324249,1
27.6,30.9787,0.00860691,1
27.7,33.5822,0.00189543,1
27.8,36.1662,0.0059247,1
27.9,36.1575,0.00181198,1
28.,36.1512,0.00838041,1
28.1,36.1454,0.00294447,1
28.2,36.1413,0.00321865,1
28.3,36.1348,-0.00156164,1
28.4,36.1318,0.00222921,1
28.5,36.1282,0.00581741,1
28.6,36.1244,0.00394583,1
28.7,36.1225,0.00770092,1
28.8,36.1193,0.00543594,1
28.9,36.1164,0.00426769,1
29.,36.1142,0.00613928,1
29.1,36.1133,0.00896454,1
29.2,36.1116,0.00211,1
29.3,36.1101,-0.00137091,1
29.4,36.1073,0.0063777,1
29.5,36.1059,0.00402927,1
29.6,36.105,0.00143051,1
29.7,36.1039,0.00550747,1
29.8,36.1021,0.00567436,1
29.9,36.103,0.00144243,1
30.,36.1021,0.00795126,1
30.1,36.1004,0.00460148,1
