Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
76	67	0	0.876938781	293.210087	293.209781	293.208367	293.21032	0.001953061	0	0	5.61528	0	0	3
77	68	0	0.888477449	293.210075	293.209815	293.208367	293.21032	0.001953061	0	0	5.61976	0	0	3
78	69	0	0.900016117	293.210063	293.20985	293.208367	293.21032	0.001953061	0	0	5.61512	0	0	3
79	69	0	0.911554785	293.210047	293.209887	293.208367	293.21032	0.001953061	0	0	5.61989	0	0	3
80	70	0	0.923093453	293.210034	293.209925	293.208381	293.21032	0.00193936297	0	0	5.615	0	0	3
81	71	0	0.934632121	293.210024	293.209963	293.208456	293.21032	0.00186446008	0	0	5.61981	0	0	3
82	72	0	0.94617079	293.210021	293.209998	293.208577	293.21032	0.00174349813	0	0	5.61492	0	0	3
83	72	0	0.957709458	293.210015	293.210031	293.208733	293.21032	0.00158768983	0	0	5.61991	0	0	3
84	73	0	0.969248126	293.210013	293.21006	293.208973	293.21032	0.00134753498	0	0	5.61492	0	0	3
85	74	0	0.980786794	293.210012	293.210084	293.209205	293.21032	0.0011153577	0	0	5.61977	0	0	3
86	75	0	0.992325462	293.210012	293.210102	293.209402	293.21032	0.00091840724	0	0	5.61481	0	0	3
87	76	0	1.00386413	293.210007	293.210116	293.209572	293.21032	0.000748897922	0.000266791694	35.6	5.61965	0	0	3
88	76	0	1.0154028	293.210003	293.210126	293.209717	293.21032	0.000603273633	0.000266791694	44.2	5.61475	0	0	3
89	77	0	1.02694147	293.209998	293.210132	293.209834	293.21032	0.000486289452	0.000266791694	54.8	5.6196	0	0	3
90	78	0	1.03848013	293.209996	293.210136	293.209937	293.21032	0.000382998417	0.000266791694	69.6	5.61454	0	0	3
91	79	0	1.0500188	293.209993	293.210137	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61952	0	0	3
92	79	0	1.06155747	293.209994	293.210136	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61456	0	0	3
93	80	0	1.07309614	293.209997	293.210133	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61949	0	0	3
94	81	0	1.08463481	293.210002	293.210129	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61459	0	0	3
95	82	0	1.09617348	293.210005	293.210124	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.6194	0	0	3
96	83	0	1.10771214	293.210008	293.210117	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61442	0	0	3
97	83	0	1.11925081	293.210011	293.210111	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61935	0	0	3
98	84	0	1.13078948	293.210014	293.210104	293.209993	293.21032	0.000327699592	0.000266791694	81.4	5.61445	0	0	3
99	85	0	1.14232815	293.210014	293.210097	293.209993	293.210317	0.000324043963	0.000266791694	82.3	5.61924	0	0	3
100	86	0	1.15386682	293.210016	293.21009	293.209993	293.210302	0.00030923189	0.000266791694	86.2	5.61448	0	0	3
101	87	0	1.16540548	293.210018	293.210084	293.209993	293.210284	0.000291288368	0.000266791694	91.5	5.61923	0	0	3
102	88	0	1.17694415	293.210021	293.210078	293.209993	293.210268	0.000275426425	0.000266791694	96.8	5.61459	0	0	3
103	88	0	1.18848282	293.210023	293.210072	293.209993	293.210258	0.000265638789	0.000266791694	100	5.61921	0	0	3
